"","college_name","aid"
"946","University of Nebraska at Omaha",1504
"947","University of Nevada, Las Vegas",15143
"948","University of Nevada, Reno",2111
"949","University of New Brunswick Fredericton",1581
"950","University of New Hampshire",28769
"951","University of New Haven",16109
"952","University of New Orleans",17347
"953","University of North Alabama",9915
"954","University of North Carolina School of the Arts",2379
"955","University of North Dakota",7096
"956","University of North Florida",2133
"957","University of Northern Colorado",1106
"958","University of Northern Iowa",4074
"959","University of Northwestern-St. Paul",17940
"960","University of Notre Dame",36392
"961","University of Oklahoma",3132
"962","University of Oregon",8143
"963","University of Pennsylvania",44824
"964","University of Pikeville",14193
"965","University of Pittsburgh at Bradford",7826
"966","University of Pittsburgh at Johnstown",5340
"967","University of Portland",28548
"968","University of Puget Sound",11225
"969","University of Richmond",44030
"970","University of Rochester",23314
"971","University of Saint Francis",7438
"972","University of San Diego",12500
"973","University of San Francisco",29566
"974","University of Science and Arts of Oklahoma",12096
"975","University of South Carolina",7250
"976","University of South Carolina Aiken",8314
"977","University of South Carolina Upstate",8629
"978","University of South Florida",9225
"979","University of Southern California",17744
"980","University of Southern Maine",5478
"981","University of Southern Mississippi",14874
"982","University of St. Francis",21654
"983","University of St. Thomas",37529
"984","University of the Cumberlands",13479
"985","University of the Incarnate Word",10808
"986","University of the Southwest",11814
"987","University of Utah",5311
"988","University of Valley Forge",22325
"989","University of Vermont",18075
"990","University of Windsor",2411
"991","University of Wisconsin-Eau Claire",3567
"992","University of Wisconsin-Green Bay",10577
"993","University of Wisconsin-La Crosse",1781
"994","University of Wisconsin-Parkside",2479
"995","University of Wisconsin-Stevens Point",6761
"996","University of Wisconsin-Stout",4463
"997","University of Wisconsin-Superior",6746
"998","University of Wisconsin-Whitewater",3855
"999","University of Wyoming",8236
"1000","Ursinus College",11249
"1001","Ursuline College",16457
"1002","Utah Valley University",6142
"1003","Utica College",22168
"1004","Valencia College",5631
"1005","Valley City State University",8053
"1006","Valparaiso University",13117
"1007","Vanderbilt University",46781
"1008","VanderCook College of Music",4700
"1009","Vanguard University of Southern California",18752
"1010","Vassar College",48916
"1011","Vaughn College of Aeronautics and Technology",2236
"1012","Villanova University",7019
"1013","Virginia Commonwealth University",7913
"1014","Virginia State University",2500
"1015","Virginia Union University",30000
"1016","Virginia University of Lynchburg",4300
"1017","Virginia Wesleyan College",21667
"1018","Viterbo University",11006
"1019","Voorhees College",11148
"1020","Wabash College",27827
"1021","Wagner College",25711
"1022","Walla Walla University",5060
"1023","Walsh University",14036
"1024","Warner Pacific College",5778
"1025","Warner University",8868
"1026","Warren Wilson College",19112
"1027","Wartburg College",20391
"1028","Washburn University",1774
"1029","Washington & Jefferson College",13649
"1030","Washington Adventist University",5000
"1031","Washington and Lee University",52278
"1032","Washington College",17833
"1033","Washington State University",9127
"1034","Washington University in St. Louis",31719
"1035","Wayland Baptist University",16713
"1036","Wayne State University",13325
"1037","Waynesburg University",8000
"1038","Webber International University",9690
"1039","Webster University",14333
"1040","Welch College",3000
"1041","Wellesley College",50937
"1042","Wells College",18000
"1043","Wesleyan College",11731
"1044","Wesleyan University",54996
"1045","West Chester University of Pennsylvania",2827
"1046","West Liberty University",3360
"1047","West Texas A&M University",5185
"1048","West Virginia University",6889
"1049","Western Kentucky University",12547
"1050","Western Oregon University",9879
"1051","Western Washington University",9514
"1052","Westminster College",38298
"1053","Wheaton College",44549
"1054","Wheeling Jesuit University",16459
"1055","Wheelock College",9119
"1056","Whitman College",40556
"1057","Whittier College",25062
"1058","Whitworth University",26796
"1059","Wichita State University",1107
"1060","Widener University",17345
"1061","Wiley College",16345
"1062","William Carey University",5500
"1063","William Jessup University",15198
"1064","William Jewell College",23233
"1065","William Paterson University of New Jersey",4048
"1066","William Peace University",12025
"1067","William Penn University",6700
"1068","William Woods University",26337
"1069","Williams Baptist College",10205
"1070","Williams College",55119
"1071","Wilmington College",16000
"1072","Wilson College",15339
"1073","Wingate University",21099
"1074","Winona State University",5500
"1075","Winthrop University",15175
"1076","Wisconsin Lutheran College",5798
"1077","Wittenberg University",28293
"1078","Wofford College",26192
"1079","Worcester Polytechnic Institute",21833
"1080","Wright State University",5056
"1081","Xavier University",16732
"1082","Xavier University of Louisiana",16308
"1083","Yale University",55862
"1084","York College",13817
"1085","York College of Pennsylvania",500
"1086","Young Harris College",18278
