"","college_name","aid"
"229","East Stroudsburg University of Pennsylvania",6358
"230","East Texas Baptist University",4770
"231","Eastern Connecticut State University",2779
"232","Eastern Kentucky University",2273
"233","Eastern Mennonite University",5507
"234","Eastern Michigan University",19475
"235","Eastern Nazarene College",30707
"236","Eastern New Mexico University",1332
"237","Eastern Oregon University",4587
"238","Eastern University",6179
"239","Eastern Washington University",5717
"240","Eckerd College",17861
"241","Edgewood College",12913
"242","Edinboro University of Pennsylvania",7171
"243","Elizabethtown College",24500
"244","Elmhurst College",16461
"245","Elmira College",25845
"246","Elms College",6466
"247","Embry-Riddle Aeronautical University - Prescott",2125
"248","Embry-Riddle Aeronautical University-Daytona",4757
"249","Emerson College",17387
"250","Emmanuel College",18742
"251","Emory & Henry College",12451
"252","Emory University",23236
"253","Emporia State University",10984
"254","Endicott College",13761
"255","Erskine College",26700
"256","Eugene Lang College The New School for Liberal Arts",10512
"257","Eureka College",7118
"258","Evangel University",5387
"259","Everest University",5000
"260","Fairfield University",40816
"261","Fairleigh Dickinson University, College at Florham",12000
"262","Fairleigh Dickinson University, Metropolitan Campus",11000
"263","Fairmont State University",10604
"264","Faulkner University",8700
"265","Felician College",22433
"266","Ferris State University",7820
"267","Ferrum College",14050
"268","Finlandia University",5797
"269","Fisk University",15239
"270","Flagler College",8182
"271","Florida Agricultural and Mechanical University",15603
"272","Florida Atlantic University",15160
"273","Florida College",13343
"274","Florida Gulf Coast University",10693
"275","Florida Institute of Technology",15976
"276","Florida Memorial University",3310
"277","Florida Southern College",16861
"278","Fontbonne University",3786
"279","Fordham University",30638
"280","Fort Hays State University",1061
"281","Fort Lewis College",16631
"282","Francis Marion University",12691
"283","Franciscan University of Steubenville",1000
"284","Franklin & Marshall College",42483
"285","Franklin College",22625
"286","Franklin Pierce University",9814
"287","Franklin University",2109
"288","Franklin W. Olin College of Engineering",22696
"289","Fresno Pacific University",11891
"290","Friends University",14822
"291","Furman University",31134
"292","Gallaudet University",9602
"293","Gannon University",20685
"294","Geneva College",8000
"295","George Fox University",9564
"296","Georgetown University",54847
"297","Georgia College & State University",8082
"298","Georgia Regents University",7146
"299","Georgia Southern University",6510
"300","Georgia State University",2203
"301","Georgian Court University",31278
"302","Gettysburg College",27549
"303","Glenville State College",12275
"304","Golden Gate University",3200
"305","Gonzaga University",9733
"306","Gordon College",21110
"307","Goshen College",19533
"308","Goucher College",26444
"309","Grace University",8515
"310","Graceland University",15545
"311","Grambling State University",4610
"312","Grand Canyon University",1000
"313","Grand Valley State University",9448
"314","Grand View University",17392
"315","Green Mountain College",27451
"316","Grinnell College",38267
"317","Grove City College",6410
"318","Guilford College",20202
"319","Gustavus Adolphus College",25040
"320","Gwynedd Mercy University",10750
"321","Hamilton College",49582
"322","Hamline University",14900
"323","Hampden-Sydney College",29537
"324","Hampshire College",30143
"325","Hampton University",33801
"326","Hanover College",22632
"327","Hardin-Simmons University",9959
"328","Harding University",10896
"329","Hartwick College",31281
"330","Harvard University",53409
"331","Harvey Mudd College",21556
"332","Haverford College",56367
"333","HEC Montreal",2500
"334","Heidelberg University",8000
"335","Hellenic College",14500
"336","Henderson State University",12454
"337","Hendrix College",25964
"338","Heritage Bible College",3500
"339","Heritage Christian University",10476
"340","Hilbert College",5780
"341","Hillsdale College",22082
"342","Hiram College",8623
"343","Hobart and William Smith Colleges",23386
"344","Hofstra University",24000
"345","Hollins University",32388
"346","Holy Family University",36708
"347","Hood College",13470
"348","Hope College",14154
"349","Hope International University",15814
"350","Houghton College",13917
"351","Houston Baptist University",16753
"352","Howard University",23954
"353","Huntingdon College",11308
"354","Huntington University",11329
"355","Husson University",10307
"356","Idaho State University",5447
"357","Illinois College",27792
"358","Illinois Institute of Technology",20233
"359","Illinois Wesleyan University",21808
"360","Indiana University Bloomington",3577
"361","Indiana University East",2795
"362","Indiana University Kokomo",572
"363","Indiana University South Bend",2797
"364","Indiana University Southeast",950
"365","Indiana University-Purdue University Fort Wayne",10000
"366","Indiana University-Purdue University Indianapolis",6226
"367","Indiana Wesleyan University",14942
"368","Iona College",25468
"369","Iowa State University of Science and Technology",6340
"370","Iowa Wesleyan College",14400
"371","Ithaca College",26867
"372","Jacksonville State University",1985
"373","Jacksonville University",22524
"374","James Madison University",19101
"375","Jarvis Christian College",17192
"376","John Brown University",21812
"377","John Carroll University",21811
"378","Johns Hopkins University",38518
"379","Johnson & Wales University",15152
"380","Johnson University",3267
"381","Judson University",16972
"382","Juniata College",17298
"383","Kalamazoo College",23863
"384","Kansas Wesleyan University",12501
"385","Kean University",7233
"386","Keene State College",7384
"387","Kent State University",14612
"388","Kentucky Christian University",17622
"389","Kentucky State University",8161
"390","Kenyon College",46391
"391","Kettering University",9990
"392","King University",21021
"393","Knox College",22647
"394","Kutztown University of Pennsylvania",21403
"395","La Roche College",13576
"396","La Salle University",24399
"397","La Sierra University",8881
"398","Lafayette College",43119
"399","LaGrange College",15705
"400","Laguna College of Art & Design",6500
"401","Lake Erie College",24249
"402","Lakeland College",7093
"403","Lamar University",5968
"404","Lancaster Bible College",10813
"405","Lander University",2340
"406","Langston University",1717
"407","Lasell College",9071
"408","Laurel University",300
"409","Lawrence Technological University",9994
"410","Lawrence University",22341
"411","Le Moyne College",21478
"412","Lebanon Valley College",13157
"413","Lee University",6485
"414","Lees-McRae College",17746
"415","Lehigh University",35056
"416","LeMoyne-Owen College",10418
"417","Lenoir-Rhyne University",25052
"418","LeTourneau University",9940
"419","Lewis & Clark College",40261
"420","Lewis University",23214
"421","Lewis-Clark State College",9130
"422","Liberty University",8342
"423","Life University",3600
"424","LIM College",5105
"425","Limestone College",12016
"426","Lincoln Christian University",7962
"427","Lincoln Memorial University",13987
"428","Lincoln University",14781
"429","Lindenwood University",9406
"430","Linfield College",22502
"431","Lipscomb University",8033
"432","Lock Haven University of Pennsylvania",8100
"433","Long Island University - LIU Brooklyn",6432
"434","Long Island University-LIU Post",8524
"435","Longwood University",17728
"436","Loras College",11600
"437","Louisiana College",2015
"438","Louisiana State University and Agricultural & Mechanical College",12141
"439","Loyola Marymount University",14576
"440","Loyola University Chicago",13102
"441","Loyola University New Orleans",17136
"442","Lubbock Christian University",12405
"443","Luther College",28681
"444","Luther Rice College & Seminary",2339
"445","Lycoming College",22349
"446","Lyme Academy College of Fine Arts",8700
"447","Lynchburg College",11123
"448","Lynn University",17037
"449","Lyon College",19424
"450","Macalester College",42377
"451","Maharishi University of Management",15925
"452","Malone University",27579
"453","Manchester University",20815
"454","Manhattan Christian College",2500
"455","Manhattanville College",26921
"456","Mannes College The New School for Music",19376
"457","Mansfield University of Pennsylvania",5807
"458","Marian University",12913
"459","Marietta College",7525
"460","Marist College",14626
"461","Marlboro College",30983
"462","Marquette University",12236
"463","Marshall University",16854
"464","Martin Luther College",5006
"465","Martin Methodist College",11650
"466","Mary Baldwin College",12657
"467","Marylhurst University",600
"468","Marymount California University",15080
"469","Marymount Manhattan College",6046
"470","Marymount University",12232
"471","Maryville College",22345
"472","Maryville University of Saint Louis",9387
"473","Marywood University",10459
"474","Massachusetts Institute of Technology",44403
"475","Mayville State University",4105
"476","McDaniel College",32707
"477","McKendree University",21554
"478","McMurry University",13391
"479","McNally Smith College of Music",14928
