"","college_name","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"558","Minnesota State University Moorhead","20","25","990","1190"
"559","Minot State University","18","23","1000","1160"
"560","Misericordia University","22","26","1030","1210"
"561","Mississippi College","21","28","1020","1310"
"562","Mississippi University for Women","18","24","1090","1220"
"563","Missouri Baptist University","18","23","900","1130"
"564","Missouri State University Springfield","21","26","1030","1300"
"565","Missouri University of Science and Technology","25","31","1250","1430"
"566","Molloy College","21","26","1060","1240"
"567","Monmouth College","19","26","940","1160"
"568","Monmouth University","21","25","1010","1190"
"569","Montana State University","21","28","1090","1310"
"570","Montana State University Northern","16","22","920","1050"
"571","Montana Tech of the University of Montana","22","26","1110","1250"
"572","Montreat College","18","23","930","1130"
"573","Moravian College and Moravian Theological Seminary","21","25","980","1190"
"574","Morehead State University","20","26","920","1130"
"575","Morehouse College","19","24","940","1160"
"576","Morgan State University","16","20","890","1070"
"577","Morrisville State College","17","22","850","1060"
"578","Mount Aloysius College","18","21","950","1110"
"579","Mount Olive College","17","22","1100","1220"
"580","Mount Saint Mary College","20","24","970","1140"
"581","Mount St Mary's University","19","24","1020","1230"
"582","Mount St. Mary's College","17","22","900","1100"
"583","Mount Vernon Nazarene University","20","25","1000","1250"
"584","Muhlenberg College","26","30","1200","1380"
"585","Murray State University","21","27","1020","1230"
"586","Muskingum University","19","24","960","1190"
"587","Nebraska Wesleyan University","21","27","1030","1300"
"588","Neumann University","17","19","880","1060"
"589","New College of Florida","26","31","1210","1410"
"590","New Jersey Institute of Technology","23","29","1180","1370"
"591","New Mexico Institute of Mining and Technology","23","29","1180","1410"
"592","New Mexico Military Institute","16","23","860","1140"
"593","New Mexico State University Main Campus","18","24","900","1140"
"594","New York Institute of Technology","22","27","1030","1250"
"595","New York School of Interior Design","17","18","970","1150"
"596","New York University","29","33","1310","1510"
"597","Newberry College","17","23","910","1120"
"598","Newman University","20","27","950","1120"
"599","Niagara University","21","25","1010","1200"
"600","Nicholls State University","20","24","1030","1210"
"601","Norfolk State University","16","20","720","940"
"602","North Carolina A & T State University","18","22","930","1090"
"603","North Carolina Central University","17","19","890","1020"
"604","North Carolina State University at Raleigh","26","31","1240","1410"
"605","North Carolina Wesleyan College","16","23","860","1110"
"606","North Central College","22","27","1060","1240"
"607","North Central University","19","25","980","1210"
"608","North Dakota State University Main Campus","21","26","1080","1340"
"609","North Georgia College & State University","21","26","1090","1270"
"610","North Greenville University","20","29","990","1370"
"611","North Park University","18","24","950","1230"
"612","Northeastern Illinois University","16","20","900","1010"
"613","Northeastern State University","19","24","950","1160"
"614","Northeastern University","31","34","1390","1540"
"615","Northern Illinois University","19","25","980","1190"
"616","Northern Kentucky University","20","26","960","1230"
"617","Northern Michigan University","19","25","850","1020"
"618","Northern State University","17","24","950","1130"
"619","Northwest Christian University","17","24","940","1150"
"620","Northwest Missouri State University","20","25","960","1180"
"621","Northwest Nazarene University","21","27","1080","1310"
"622","Northwest University","20","26","1020","1250"
"623","Northwestern College","21","28","1000","1240"
"624","Northwestern College","21","28","1040","1300"
"625","Northwestern College","21","27","1000","1240"
"626","Northwestern College","21","27","1040","1300"
"627","Northwestern State University of Louisiana","19","24","960","1170"
"628","Northwestern University","32","34","1450","1570"
"629","Northwood University Florida","17","23","900","1090"
"630","Northwood University Michigan","20","24","960","1180"
"631","Notre Dame College","18","22","900","1080"
"632","Notre Dame de Namur University","17","22","880","1100"
"633","Notre Dame of Maryland University","21","27","1040","1210"
"634","Nova Southeastern University","22","28","1080","1290"
"635","Nyack College","18","25","860","1100"
"636","Oak Hills Christian College","16","21","770","940"
"637","Oakland City University","18","24","940","1140"
"638","Oakland University","20","27","890","1180"
"639","Oakwood University","16","21","840","1090"
"640","Oberlin College","29","33","1310","1490"
"641","Occidental College","28","31","1270","1470"
"642","Oglethorpe University","22","27","1100","1300"
"643","Ohio Dominican University","19","24","950","1120"
"644","Ohio Northern University","23","28","1110","1310"
"645","Ohio State University","27","31","1230","1460"
"646","Ohio University Main Campus","21","26","1070","1270"
"647","Ohio Valley University","18","23","930","1130"
"648","Oklahoma Baptist University","20","26","1000","1230"
"649","Oklahoma Christian University","21","28","1020","1290"
"650","Oklahoma City University","22","29","1070","1300"
"651","Oklahoma State University Main Campus","21","27","1050","1270"
"652","Oklahoma Wesleyan University","18","23","910","1170"
"653","Old Dominion University","18","25","970","1200"
"654","Olivet College","18","23","950","1250"
"655","Olivet Nazarene University","21","27","1020","1270"
"656","Oral Roberts University","19","24","970","1200"
"657","Oregon Institute of Technology","21","25","1000","1230"
"658","Oregon State University","22","28","1070","1310"
"659","Otterbein University","21","27","1090","1290"
"660","Ouachita Baptist University","21","28","1030","1270"
"661","Our Lady of the Lake University San Antonio","18","22","910","1090"
"662","Ozark Christian College","19","26","990","1200"
"663","Pace University New York","21","27","1020","1230"
"664","Pacific Lutheran University","22","28","1060","1300"
"665","Pacific Union College","17","25","940","1180"
"666","Pacific University","22","27","1090","1300"
"667","Paine College","14","17","720","910"
"668","Palm Beach Atlantic University West Palm Beach","21","27","1010","1240"
"669","Paul Quinn College","12","25","680","1110"
"670","Penn State Abington","20","27","950","1200"
"671","Penn State Altoona","20","24","980","1180"
"672","Penn State Beaver","20","25","960","1240"
"673","Penn State Berks","19","24","950","1180"
"674","Penn State Brandywine","18","25","940","1150"
"675","Penn State Erie Behrend College","21","27","1050","1280"
"676","Penn State Fayette  Eberly Campus","17","24","920","1150"
