"","college_name","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"991","University of Illinois at Chicago","21","27","1070","1310"
"992","University of Illinois at Springfield","20","26","960","1220"
"993","University of Illinois at Urbana Champaign","26","32","1340","1510"
"994","University of Indianapolis","20","26","970","1190"
"995","University of Iowa","23","28","1100","1380"
"996","University of Kentucky","22","29","1080","1310"
"997","University of La Verne","20","26","1010","1200"
"998","University of Louisiana at Lafayette","21","26","1020","1250"
"999","University of Louisiana Monroe","20","25","1030","1420"
"1000","University of Maine","21","26","1030","1260"
"1001","University of Maine at Fort Kent","16","22","870","1070"
"1002","University of Mary","20","26","1020","1240"
"1003","University of Mary Hardin Baylor","21","26","1000","1190"
"1004","University of Mary Washington","22","27","1090","1280"
"1005","University of Maryland Baltimore County","24","29","1190","1380"
"1006","University of Maryland College Park","29","33","1280","1470"
"1007","University of Maryland Eastern Shore","17","20","870","1030"
"1008","University of Massachusetts Amherst","25","30","1200","1390"
"1009","University of Massachusetts Boston","21","26","1040","1250"
"1010","University of Massachusetts Dartmouth","20","26","990","1200"
"1011","University of Massachusetts Lowell","24","29","1140","1320"
"1012","University of Memphis","18","25","980","1230"
"1013","University of Miami","28","32","1280","1440"
"1014","University of Michigan Ann Arbor","29","33","1370","1530"
"1015","University of Michigan Flint","19","26","1050","1250"
"1016","University of Minnesota Crookston","20","24","880","1170"
"1017","University of Minnesota Duluth","22","26","1050","1280"
"1018","University of Minnesota Morris","22","28","1100","1330"
"1019","University of Minnesota Rochester","22","27","1040","1190"
"1020","University of Minnesota Twin Cities","26","31","1250","1490"
"1021","University of Mississippi","22","29","1080","1300"
"1022","University of Missouri Columbia","23","29","1100","1350"
"1023","University of Missouri Kansas City","21","28","1060","1360"
"1024","University of Missouri St Louis","21","27","1020","1150"
"1025","University of Mobile","19","25","930","1190"
"1026","University of Montevallo","20","26","980","1270"
"1027","University of Mount Union","20","26","970","1180"
"1028","University of Nebraska at Kearney","19","25","910","1100"
"1029","University of Nebraska at Omaha","19","26","1010","1280"
"1030","University of Nebraska Lincoln","22","28","1070","1340"
"1031","University of Nevada Las Vegas","19","24","980","1200"
"1032","University of Nevada Reno","21","26","1050","1270"
"1033","University of New England","21","26","1020","1220"
"1034","University of New Hampshire at Manchester","22","26","1060","1290"
"1035","University of New Hampshire Main Campus","22","27","1070","1270"
"1036","University of New Haven","20","26","1010","1210"
"1037","University of New Mexico Main Campus","19","25","1030","1270"
"1038","University of New Orleans","20","24","1030","1300"
"1039","University of North Alabama","19","25","950","1130"
"1040","University of North Carolina at Asheville","23","28","1120","1310"
"1041","University of North Carolina at Chapel Hill","28","33","1280","1470"
"1042","University of North Carolina at Charlotte","22","26","1110","1270"
"1043","University of North Carolina at Greensboro","21","25","1030","1200"
"1044","University of North Carolina at Pembroke","18","21","920","1090"
"1045","University of North Carolina at Wilmington","22","26","1200","1320"
"1046","University of North Carolina School of the Arts","22","28","1110","1310"
"1047","University of North Dakota","21","26","1040","1260"
"1048","University of North Florida","21","26","1120","1290"
"1049","University of North Texas","21","26","1060","1270"
"1050","University of Northern Colorado","19","25","1010","1220"
"1051","University of Northern Iowa","20","25","960","1290"
"1052","University of Notre Dame","32","35","1410","1560"
"1053","University of Oklahoma Norman Campus","23","29","1130","1400"
"1054","University of Oregon","22","27","1060","1290"
"1055","University of Pennsylvania","32","35","1430","1580"
"1056","University of Pikeville","17","22","870","1080"
"1057","University of Pittsburgh Bradford","19","23","950","1160"
"1058","University of Pittsburgh Greensburg","20","25","1000","1190"
"1059","University of Pittsburgh Johnstown","20","25","990","1200"
"1060","University of Pittsburgh Pittsburgh Campus","27","32","1260","1430"
"1061","University of Pittsburgh Titusville","15","19","910","1070"
"1062","University of Redlands","22","27","1060","1260"
"1063","University of Rhode Island","22","27","1050","1240"
"1064","University of Richmond","29","32","1290","1470"
"1065","University of Saint Francis Fort Wayne","19","24","980","1160"
"1066","University of Saint Mary","19","24","950","1160"
"1067","University of San Diego","26","30","1170","1370"
"1068","University of San Francisco","23","28","1110","1310"
"1069","University of Science and Arts of Oklahoma","19","24","900","1090"
"1070","University of Scranton","23","28","1110","1290"
"1071","University of Sioux Falls","20","25","1040","1230"
"1072","University of South Alabama","20","23","1000","1200"
"1073","University of South Carolina Aiken","18","24","950","1130"
"1074","University of South Carolina Beaufort","18","24","920","1110"
"1075","University of South Carolina Columbia","25","30","1190","1360"
"1076","University of South Carolina Lancaster","15","21","830","1080"
"1077","University of South Carolina Salkehatchie","14","18","800","1000"
"1078","University of South Carolina Sumter","17","21","900","1110"
"1079","University of South Carolina Upstate","18","23","940","1120"
"1080","University of South Dakota","20","25","970","1270"
"1081","University of South Florida Main Campus","24","28","1140","1310"
"1082","University of South Florida St. Petersburg Campus","24","27","1130","1310"
"1083","University of Southern California","30","33","1340","1530"
"1084","University of Southern Indiana","19","25","970","1150"
"1085","University of Southern Maine","19","25","950","1160"
"1086","University of Southern Mississippi","20","26","1020","1260"
"1087","University of St Francis","20","26","990","1180"
"1088","University of St Thomas","21","26","1070","1240"
"1089","University of St Thomas","21","26","1130","1350"
"1090","University of St Thomas","24","29","1070","1240"
"1091","University of St Thomas","24","29","1130","1350"
"1092","University of the Cumberlands","19","25","950","1160"
"1093","University of the Incarnate Word","17","20","930","1020"
"1094","University of the Ozarks","19","24","900","1110"
"1095","University of the Pacific","23","30","1110","1360"
"1096","University of the Sciences","23","28","1140","1320"
"1097","University of the Southwest","15","21","830","1060"
"1098","University of Toledo","20","26","1000","1280"
"1099","University of Tulsa","26","33","1170","1440"
"1100","University of Utah","21","27","1130","1360"
"1101","University of Vermont","25","30","1170","1360"
"1102","University of Virginia Main Campus","29","33","1310","1500"
"1103","University of Washington Bothell Campus","20","25","990","1240"
"1104","University of Washington Seattle Campus","26","32","1190","1420"
"1105","University of Washington Tacoma Campus","17","23","940","1170"
"1106","University of West Alabama","18","23","940","1100"
"1107","University of West Georgia","18","22","950","1090"
"1108","University of Wisconsin Madison","27","31","1270","1470"
"1109","University of Wisconsin Whitewater","20","25","970","1180"
"1110","University of Wyoming","21","27","1040","1280"
"1111","Upper Iowa University","17","24","940","960"
"1112","Urbana University","17","21","900","1050"
"1113","Ursuline College","19","24","970","1180"
"1114","Utah State University","20","27","1060","1290"
"1115","Valdosta State University","19","23","970","1130"
"1116","Valley City State University","18","24","890","1030"
"1117","Valley Forge Military College","18","25","810","1110"
"1118","Valparaiso University","23","29","1070","1270"
"1119","Vanderbilt University","32","35","1470","1590"
"1120","Vanguard University of Southern California","17","24","910","1110"
"1121","Vassar College","30","33","1390","1530"
"1122","Villanova University","30","32","1290","1470"
"1123","Virginia Commonwealth University","21","27","1060","1270"
"1124","Virginia Intermont College","18","22","870","1100"
"1125","Virginia Military Institute","23","28","1130","1310"
"1126","Virginia State University","15","19","820","980"
"1127","Virginia Wesleyan College","17","24","930","1130"
"1128","Visible Music College","18","25","770","1270"
"1129","Viterbo University","20","26","900","1100"
"1130","Wabash College","23","28","1100","1300"
"1131","Waldorf College","18","23","900","1100"
"1132","Walla Walla University","20","27","1000","1280"
"1133","Walsh University","19","25","960","1180"
"1134","Warner University","17","20","880","1050"
"1135","Wartburg College","21","26","980","1140"
"1136","Washington Adventist University","14","21","810","1080"
"1137","Washington and Lee University","30","33","1380","1500"
"1138","Washington Bible College Capital Bible Seminary","15","20","920","1210"
"1139","Washington State University","20","26","1010","1230"
"1140","Washington University in St Louis","32","34","1450","1580"
"1141","Watkins College of Art Design & Film","19","23","970","1240"
"1142","Wayland Baptist University","16","22","860","1120"
"1143","Wayne State University","20","27","1060","1320"
"1144","Waynesburg University","19","25","940","1140"
"1145","Webber International University","17","20","900","1080"
"1146","Webster University","21","27","1140","1300"
"1147","Wellesley College","30","33","1370","1530"
"1148","Wells College","19","26","940","1190"
"1149","Wentworth Institute of Technology","21","28","1090","1290"
"1150","Wesley College","15","17","830","1010"
"1151","Wesleyan College","19","26","1010","1190"
"1152","West Chester University of Pennsylvania","21","25","1050","1220"
"1153","West Liberty University","18","23","910","1070"
"1154","West Texas A & M University","18","24","930","1130"
"1155","West Virginia State University","17","22","890","1090"
"1156","West Virginia University","21","26","1000","1200"
"1157","West Virginia University Institute of Technology","19","24","860","1190"
"1158","West Virginia Wesleyan College","20","25","960","1180"
"1159","Western Carolina University","20","25","990","1190"
"1160","Western Kentucky University","19","26","940","1160"
"1161","Western Michigan University","19","25","980","1190"
"1162","Western New England University","22","27","1070","1260"
"1163","Western Oregon University","17","23","920","1140"
"1164","Western State Colorado University","19","25","970","1190"
"1165","Western Washington University","23","28","1070","1290"
"1166","Westfield State University","19","24","970","1160"
"1167","Westminster College","21","26","1020","1230"
"1168","Westminster College","21","26","1080","1280"
"1169","Westminster College","21","26","930","1250"
"1170","Westminster College","20","26","1020","1230"
"1171","Westminster College","20","26","1080","1280"
"1172","Westminster College","20","26","930","1250"
"1173","Westminster College","22","27","1020","1230"
"1174","Westminster College","22","27","1080","1280"
"1175","Westminster College","22","27","930","1250"
"1176","Westmont College","23","29","1120","1340"
"1177","Wheaton College","27","32","1240","1450"
"1178","Wheeling Jesuit University","18","23","970","1130"
"1179","Wheelock College","15","22","880","1090"
"1180","Whitman College","28","32","1270","1470"
"1181","Whittier College","20","26","1000","1200"
"1182","Whitworth University","22","29","1080","1320"
"1183","Wichita State University","21","27","990","1290"
"1184","Widener University Main Campus","21","26","1010","1200"
"1185","Wilberforce University","15","19","800","1040"
"1186","Wilkes University","20","25","970","1200"
"1187","William Carey University","21","27","940","1140"
"1188","William Jessup University","19","25","980","1210"
"1189","William Jewell College","22","28","1060","1340"
"1190","William Peace University","16","22","870","1100"
"1191","William Penn University","17","21","810","970"
"1192","William Woods University","19","25","940","1190"
"1193","Williams College","31","34","1390","1560"
"1194","Wilmington College","18","23","920","1080"
"1195","Wilson College","20","26","890","1110"
"1196","Wingate University","20","25","1020","1200"
"1197","Winona State University","20","25","870","1140"
"1198","Winston Salem State University","17","19","880","1020"
"1199","Winthrop University","20","25","990","1200"
"1200","Wisconsin Lutheran College","21","27","1100","1310"
"1201","Wofford College","24","29","1130","1330"
"1202","Woodbury University","19","28","940","1190"
"1203","Worcester State University","21","26","990","1180"
"1204","Wright State University Lake Campus","19","24","930","1070"
"1205","Wright State University Main Campus","18","25","1010","1280"
"1206","Xavier University","23","28","1090","1260"
"1207","Xavier University of Louisiana","20","26","980","1180"
"1208","Yale University","32","35","1470","1600"
"1209","Yeshiva University","23","30","1160","1420"
"1210","York College","17","23","890","1050"
"1211","York College Pennsylvania","20","25","1020","1210"
"1212","Young Harris College","18","25","960","1190"
"1213","Youngstown State University","18","25","930","1160"
