"","college_name","combined_rank","national_rank","liberal_rank","students","aid","link","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"62","Boston University",37,37,NA,NA,36904,"/best-colleges/boston-university-2130","28","32","1290","1470"
"63","Case Western Reserve University",37,37,NA,NA,13245,"/best-colleges/case-western-reserve-university-3024","30","34","1340","1520"
"64","Soka University of America",39,NA,39,164,31901,"/best-colleges/soka-university-of-america-38144","26","30","1140","1420"
"65","Northeastern University",40,40,NA,NA,18740,"/best-colleges/northeastern-university-2199","31","34","1390","1540"
"66","Tulane University",40,40,NA,NA,19965,"/best-colleges/tulane-university-2029",NA,NA,NA,NA
"67","Skidmore College",41,NA,41,80,56600,"/best-colleges/skidmore-college-2814","26","30","1190","1390"
"68","Whitman College",41,NA,41,NA,40556,"/best-colleges/whitman-college-3803","28","32","1270","1470"
"69","Occidental College",44,NA,44,NA,40525,"/best-colleges/occidental-college-1249","28","31","1270","1470"
"70","Trinity College",44,NA,44,146,54788,"/best-colleges/trinity-college-1414",NA,NA,NA,NA
"71","Bard College",46,NA,46,196,44032,"/best-colleges/bard-college-2671",NA,NA,NA,NA
"72","Centre College",46,NA,46,NA,16410,"/best-colleges/centre-college-1961","26","31","1150","1400"
"73","Connecticut College",46,NA,46,57,47242,"/best-colleges/connecticut-college-1379",NA,NA,NA,NA
"74","Denison University",46,NA,46,153,26417,"/best-colleges/denison-university-3042","28","32","1260","1430"
"75","Gettysburg College",46,NA,46,NA,27549,"/best-colleges/gettysburg-college-3268",NA,NA,NA,NA
"76","Lehigh University",46,46,NA,NA,35056,"/best-colleges/lehigh-university-3289","29","32","1300","1470"
"77","Pepperdine University",46,46,NA,NA,23000,"/best-colleges/pepperdine-university-1264","26","31","1180","1390"
"78","University of Miami",46,46,NA,118,28775,"/best-colleges/university-of-miami-1536","28","32","1280","1440"
"79","Villanova University",46,46,NA,NA,7019,"/best-colleges/villanova-3388","30","32","1290","1470"
"80","Dickinson College",51,NA,51,133,29073,"/best-colleges/dickinson-college-3253",NA,NA,NA,NA
"81","Rhodes College",51,NA,51,NA,20369,"/best-colleges/rhodes-college-3519","27","31","1240","1420"
"82","DePauw University",53,NA,53,NA,16347,"/best-colleges/depauw-university-1792","24","29","1120","1340"
"83","Furman University",53,NA,53,NA,31134,"/best-colleges/furman-university-3434",NA,NA,NA,NA
"84","Sarah Lawrence College",53,NA,53,NA,34939,"/best-colleges/sarah-lawrence-2813","27","31","1240","1450"
"85","St. John's College",53,NA,53,39,69360,"/best-colleges/st-johns-college-maryland-2092",NA,NA,NA,NA
"86","University of Georgia",54,54,NA,NA,23194,"/best-colleges/university-of-georgia-1598","26","31","1210","1400"
"87","St. Olaf College",57,NA,57,NA,38795,"/best-colleges/st-olaf-college-2382",NA,NA,NA,NA
"88","Lawrence University",58,NA,58,110,22341,"/best-colleges/lawrence-university-3856","26","31","1210","1450"
"89","St. Lawrence University",58,NA,58,155,35260,"/best-colleges/st-lawrence-university-2829",NA,NA,NA,NA
"90","Thomas Aquinas College",58,NA,58,NA,18240,"/best-colleges/thomas-aquinas-college-10448","25","30","1210","1420"
"91","Agnes Scott College",61,NA,61,NA,20093,"/best-colleges/agnes-scott-college-1542",NA,NA,NA,NA
"92","Fordham University",61,61,NA,NA,30638,"/best-colleges/fordham-university-2722","27","31","1240","1420"
"93","Southern Methodist University",61,61,NA,NA,25576,"/best-colleges/smu-3613","28","32","1290","1460"
"94","Spelman College",61,NA,61,NA,26327,"/best-colleges/spelman-college-1594","22","26","1060","1240"
"95","Syracuse University",61,61,NA,NA,12301,"/best-colleges/syracuse-university-2882","25","29","1160","1350"
"96","Worcester Polytechnic Institute",61,61,NA,350,21833,"/best-colleges/wpi-2233",NA,NA,NA,NA
"97","Wheaton College",63,NA,63,103,44549,"/best-colleges/wheaton-college-illinois-1781","27","32","1240","1450"
"98","Hobart and William Smith Colleges",65,NA,65,NA,23386,"/best-colleges/hobart-and-william-2731",NA,NA,NA,NA
"99","Wabash College",65,NA,65,53,27827,"/best-colleges/wabash-college-1844","23","28","1100","1300"
"100","Berea College",68,NA,68,NA,31737,"/best-colleges/berea-college-1955",NA,NA,NA,NA
"101","Earlham College",68,NA,68,NA,40250,"/best-colleges/earlham-college-1793",NA,NA,NA,NA
"102","University of Puget Sound",68,NA,68,NA,11225,"/best-colleges/university-of-puget-sound-3797",NA,NA,NA,NA
"103","Stevens Institute of Technology",69,69,NA,NA,4200,"/best-colleges/stevens-institute-of-technology-2639","29","33","1320","1480"
"104","Hillsdale College",71,NA,71,NA,22082,"/best-colleges/hillsdale-college-2272",NA,NA,NA,NA
"105","Illinois Wesleyan University",71,NA,71,NA,21808,"/best-colleges/illinois-wesleyan-university-1696","25","29","1200","1450"
"106","Knox College",71,NA,71,NA,22647,"/best-colleges/knox-college-1704",NA,NA,NA,NA
"107","Muhlenberg College",71,NA,71,NA,38150,"/best-colleges/muhlenberg-college-3304","26","30","1200","1380"
"108","Wofford College",71,NA,71,NA,26192,"/best-colleges/wofford-college-3457","24","29","1130","1330"
"109","Baylor University",75,75,NA,NA,13993,"/best-colleges/baylor-university-6967","26","30","1190","1370"
"110","Beloit College",76,NA,76,111,18879,"/best-colleges/beloit-college-3835","24","30","1130","1420"
"111","Hendrix College",76,NA,76,NA,25964,"/best-colleges/hendrix-college-1099","26","32","1170","1420"
"112","Kalamazoo College",76,NA,76,NA,23863,"/best-colleges/kalamazoo-college-2275",NA,NA,NA,NA
"113","Lewis & Clark College",76,NA,76,NA,40261,"/best-colleges/lewis-and-clark-3197","27","31","1260","1420"
"114","St. John's College",76,NA,76,39,69360,"/best-colleges/st-johns-college-new-mexico-2093",NA,NA,NA,NA
"115","Wheaton College",76,NA,76,103,44549,"/best-colleges/wheaton-college-massachusetts-2227","27","32","1240","1450"
"116","Texas Christian University",78,78,NA,NA,29552,"/best-colleges/tcu-3636","25","30","1140","1340"
"117","Clark University",81,81,NA,165,25328,"/best-colleges/clark-university-massachusetts-2139",NA,NA,NA,NA
"118","Michigan State University",81,81,NA,NA,13696,"/best-colleges/michigan-state-2290","24","29","1070","1320"
"119","Allegheny College",82,NA,82,NA,18708,"/best-colleges/allegheny-college-3230",NA,NA,NA,NA
"120","Reed College",82,NA,82,45,50705,"/best-colleges/reed-college-3217","29","33","1340","1510"
"121","Gustavus Adolphus College",85,NA,85,NA,25040,"/best-colleges/gustavus-college-2353",NA,NA,NA,NA
"122","St. John's University",85,NA,85,NA,21401,"/best-colleges/st-johns-university-minnesota-2379",NA,NA,NA,NA
"123","Bennington College",87,NA,87,46,44230,"/best-colleges/bennington-college-3682",NA,NA,NA,NA
"124","Cornell College",87,NA,87,NA,22074,"/best-colleges/cornell-college-1856","23","29","1060","1340"
"125","Luther College",87,NA,87,NA,28681,"/best-colleges/luther-college-1874","23","28","1010","1260"
"126","Millsaps College",87,NA,87,NA,26155,"/best-colleges/millsaps-college-2414","23","28","1120","1310"
"127","Transylvania University",87,NA,87,NA,15772,"/best-colleges/transylvania-university-1987",NA,NA,NA,NA
"128","University of Denver",87,87,NA,NA,19226,"/best-colleges/university-denver-1371","26","31","1180","1370"
"129","Marquette University",90,90,NA,NA,12236,"/best-colleges/marquette-university-3863","24","29","1120","1330"
"130","University of San Diego",90,90,NA,NA,12500,"/best-colleges/university-of-san-diego-10395","26","30","1170","1370"
"131","Austin College",93,NA,93,NA,14016,"/best-colleges/austin-college-3543","23","29","1160","1380"
"132","College of the Atlantic",93,NA,93,52,40534,"/best-colleges/college-of-the-atlantic-11385",NA,NA,NA,NA
"133","Ursinus College",93,NA,93,NA,11249,"/best-colleges/ursinus-3385",NA,NA,NA,NA
"134","Saint Louis University",94,94,NA,NA,20626,"/best-colleges/st-louis-university-2506",NA,NA,NA,NA
"135","Yeshiva University",94,94,NA,133,NA,"/best-colleges/yeshiva-university-2903","23","30","1160","1420"
