"","college_name","combined_rank","national_rank","liberal_rank","students","aid","link","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"261","Bethany College",173,NA,173,NA,27565,"/best-colleges/bethany-college-west-virginia-3808","17","23","850","1080"
"262","Bethel College",173,NA,173,NA,35287,"/best-colleges/bethel-college-kansas-1905",NA,NA,NA,NA
"263","Bethune-Cookman University",173,NA,173,NA,15970,"/best-colleges/bethune-cookman-university-1467",NA,NA,NA,NA
"264","Bloomfield College",173,NA,173,NA,11505,"/best-colleges/bloomfield-college-2597","16","20","860","1030"
"265","Bridgewater College",173,NA,173,NA,24798,"/best-colleges/bridgewater-college-3704","20","26","990","1180"
"266","Bryn Athyn College of the New Church",173,NA,173,NA,13177,"/best-colleges/bryn-athyn-3228","18","23","870","1180"
"267","Dillard University",173,NA,173,NA,14870,"/best-colleges/dillard-university-2004","18","21","900","1130"
"268","Emmanuel College",173,NA,173,NA,18742,"/best-colleges/emmanuel-college--massachusetts-2147","23","27","1110","1270"
"269","Emmanuel College",173,NA,173,NA,18742,"/best-colleges/emmanuel-college--massachusetts-2147","23","27","910","1140"
"270","Emmanuel College",173,NA,173,NA,18742,"/best-colleges/emmanuel-college--massachusetts-2147","18","21","1110","1270"
"271","Emmanuel College",173,NA,173,NA,18742,"/best-colleges/emmanuel-college--massachusetts-2147","18","21","910","1140"
"272","Erskine College",173,NA,173,NA,26700,"/best-colleges/erskine-college-3432",NA,NA,NA,NA
"273","Fisk University",173,NA,173,NA,15239,"/best-colleges/fisk-3490","17","22","900","1090"
"274","Fort Lewis College",173,NA,173,NA,16631,"/best-colleges/fort-lewis-college-1353","19","24","1020","1190"
"275","LaGrange College",173,NA,173,NA,15705,"/best-colleges/lagrange-college-1578","20","24","1010","1160"
"276","Lyon College",173,NA,173,NA,19424,"/best-colleges/lyon-college-1088","22","26","1030","1190"
"277","Marymount Manhattan College",173,NA,173,NA,6046,"/best-colleges/marymount-manhattan-2769","22","27","1010","1240"
"278","The King's College",173,NA,173,NA,19377,"/best-colleges/kings-college-new-york-666134",NA,NA,NA,NA
"279","Kent State University",176,176,NA,NA,14612,"/best-colleges/kent-state-university-3051",NA,NA,NA,NA
"280","Robert Morris University",176,176,NA,NA,23766,"/best-colleges/robert-morris-university-pennsylvania-3359","21","26","1020","1210"
"281","Texas Tech University",176,176,NA,NA,5132,"/best-colleges/texas-tech-university-3644","22","27","1100","1270"
"282","Union University",176,176,NA,NA,19001,"/best-colleges/union-university-3528","23","30","1100","1360"
"283","University of Hartford",176,176,NA,NA,19851,"/best-colleges/university-of-hartford-1422","20","26","1000","1230"
"284","Edgewood College",181,181,NA,NA,12913,"/best-colleges/edgewood-college-3848","21","25","1030","1140"
"285","Lipscomb University",181,181,NA,NA,8033,"/best-colleges/lipscomb-3486","22","28","1070","1330"
"286","Suffolk University",181,181,NA,NA,9556,"/best-colleges/suffolk-university-2218","20","25","990","1190"
"287","University of Maine",181,181,NA,NA,5269,"/best-colleges/university-of-maine-2053","21","26","1030","1260"
"288","University of Wyoming",181,181,NA,NA,8236,"/best-colleges/university-of-wyoming-3932","21","27","1040","1280"
"289","Azusa Pacific University",187,187,NA,NA,7939,"/best-colleges/azusa-pacific-1117","20","26","980","1200"
"290","Pace University",187,187,NA,NA,14749,"/best-colleges/pace-university-2791",NA,NA,NA,NA
"291","West Virginia University",187,187,NA,NA,6889,"/best-colleges/wvu-3827","21","26","1000","1200"
"292","Andrews University",192,192,NA,NA,26675,"/best-colleges/andrews-university-2238","21","29","1010","1330"
"293","University of Houston",192,192,NA,NA,1933,"/best-colleges/university-of-houston-3652","23","28","1120","1310"
"294","University of North Dakota",192,192,NA,NA,7096,"/best-colleges/university-of-north-dakota-3005","21","26","1040","1260"
"295","Widener University",192,192,NA,NA,17345,"/best-colleges/widener-university-3313",NA,NA,NA,NA
"296","New Mexico State University",198,198,NA,NA,14621,"/best-colleges/new-mexico-state-university-2657",NA,NA,NA,NA
"297","Nova Southeastern University",198,198,NA,NA,6414,"/best-colleges/nova-1509","22","28","1080","1290"
"298","Dallas Baptist University",202,202,NA,NA,6280,"/best-colleges/dallas-baptist-university-3560","19","25","1110","1260"
"299","Central Michigan University",207,207,NA,NA,6839,"/best-colleges/central-michigan-university-2243","20","25","970","1210"
"300","East Carolina University",207,207,NA,NA,20525,"/best-colleges/east-carolina-university-2923","20","24","1050","1200"
"301","Montana State University",207,207,NA,NA,4038,"/best-colleges/montana-state-2532","21","28","1090","1310"
"302","Ashland University",223,223,NA,NA,3524,"/best-colleges/ashland-university-3012","20","25","1040","1240"
"303","Benedictine University",223,223,NA,NA,3413,"/best-colleges/benedictine-university-1767",NA,NA,NA,NA
"304","Georgia State University",223,223,NA,NA,2203,"/best-colleges/georgia-state-1574","20","26","1040","1250"
"305","Shenandoah University",223,223,NA,NA,5347,"/best-colleges/shenandoah-university-3737","19","25","960","1190"
"306","Wayne State University",223,223,NA,NA,13325,"/best-colleges/wayne-state-2329","20","27","1060","1320"
