ID,college_name,combined_rank,national_rank,liberal_rank,students,aid,usnews_link,bigfuture_link,college_website,Total_Amount_Awarded,Engineering
201,Oregon State University,145,145,NA,NA,5669,/best-colleges/oregon-state-3210,,,,NA
202,St. John Fisher College,145,145,NA,NA,6065,/best-colleges/st-john-fisher-college-2821,,,,NA
203,University of Mississippi,145,145,NA,NA,12656,/best-colleges/university-of-mississippi-2440,,,,NA
204,Bard College at Simon's Rock,147,NA,147,NA,29853,/best-colleges/simons-rock-9645,,,,NA
205,Centenary College of Louisiana,147,NA,147,NA,30150,/best-colleges/centenary-louisiana-2003,,,,NA
206,Franklin College,147,NA,147,NA,22625,/best-colleges/franklin-college-1798,,,,NA
207,Houghton College,147,NA,147,NA,13917,/best-colleges/houghton-college-2734,,,,NA
208,Lycoming College,147,NA,147,NA,22349,/best-colleges/lycoming-college-3293,,,,NA
209,Monmouth College,147,NA,147,NA,26987,/best-colleges/monmouth-college-1725,,,,NA
210,Saint Vincent College,147,NA,147,NA,4491,/best-colleges/saint-vincent-college-3368,,,,NA
211,Simpson College,147,NA,147,NA,28315,/best-colleges/simpson-college-1887,,,,NA
212,Westminster College,147,NA,147,NA,38298,/best-colleges/westminster-college-missouri-2523,,,,NA
213,William Jewell College,147,NA,147,NA,23233,/best-colleges/william-jewell-2524,,,,NA
214,Adelphi University,151,151,NA,NA,15047,/best-colleges/adelphi-university-2666,,,,NA
215,Florida Institute of Technology,151,151,NA,NA,15976,/best-colleges/florida-tech-1469,,,,NA
216,Seattle Pacific University,151,151,NA,NA,13154,/best-colleges/seattle-pacific-university-3788,,,,NA
217,Oklahoma State University,156,156,NA,NA,5289,/best-colleges/oklahoma-state-3170,,,,NA
218,Wittenberg University,158,NA,158,NA,28293,/best-colleges/wittenberg-university-3143,,,,NA
219,Biola University,159,159,NA,NA,8892,/best-colleges/biola-university-1122,,,,NA
220,University of La Verne,159,159,NA,NA,9134,/best-colleges/la-verne-1216,,,,NA
221,Guilford College,160,NA,160,NA,20202,/best-colleges/guilford-college-2931,,,,NA
222,Morehouse College,160,NA,160,NA,31416,/best-colleges/morehouse-college-1582,,,,NA
223,Warren Wilson College,160,NA,160,NA,19112,/best-colleges/warren-wilson-2979,,,,NA
224,Carthage College,163,NA,163,NA,23795,/best-colleges/carthage-college-3839,,,,NA
225,Elmira College,165,NA,165,NA,25845,/best-colleges/elmira-2718,,,,NA
226,Hartwick College,165,NA,165,NA,31281,/best-colleges/hartwick-college-2729,,,,NA
227,Moravian College,165,NA,165,NA,16217,/best-colleges/moravian-college-3301,,,,NA
228,St. John's University,165,165,NA,NA,21401,/best-colleges/st-johns-university-new-york-2823,,,,NA
229,Covenant College,168,NA,168,NA,14368,/best-colleges/covenant-college-3484,,,,NA
230,Gordon College,168,NA,168,NA,21110,/best-colleges/gordon-college-2153,,,,NA
231,Wells College,168,NA,168,NA,18000,/best-colleges/wells-college-2901,,,,NA
232,University of Central Florida,171,171,NA,NA,1660,/best-colleges/ucf-3954,,,,NA
233,University of Idaho,171,171,NA,NA,5000,/best-colleges/university-of-idaho-1626,,,,NA
234,Virginia Commonwealth University,171,171,NA,NA,7913,/best-colleges/vcu-3735,,,,NA
235,Albright College,173,NA,173,NA,14885,/best-colleges/albright-college-3229,,,,NA
236,American Jewish University,173,NA,173,NA,9000,/best-colleges/american-jewish-university-2741,,,,NA
237,Ave Maria University,173,NA,173,NA,9663,/best-colleges/ave-maria-university-39413,,,,NA
238,Bethany College,173,NA,173,NA,27565,/best-colleges/bethany-college-west-virginia-3808,,,,NA
239,Bethel College,173,NA,173,NA,35287,/best-colleges/bethel-college-kansas-1905,,,,NA
240,Bethune-Cookman University,173,NA,173,NA,15970,/best-colleges/bethune-cookman-university-1467,,,,NA
241,Bloomfield College,173,NA,173,NA,11505,/best-colleges/bloomfield-college-2597,,,,NA
242,Bridgewater College,173,NA,173,NA,24798,/best-colleges/bridgewater-college-3704,,,,NA
243,Bryn Athyn College of the New Church,173,NA,173,NA,13177,/best-colleges/bryn-athyn-3228,,,,NA
244,Dillard University,173,NA,173,NA,14870,/best-colleges/dillard-university-2004,,,,NA
245,Emmanuel College,173,NA,173,NA,18742,/best-colleges/emmanuel-college--massachusetts-2147,,,,NA
246,Erskine College,173,NA,173,NA,26700,/best-colleges/erskine-college-3432,,,,NA
247,Fisk University,173,NA,173,NA,15239,/best-colleges/fisk-3490,,,,NA
248,Fort Lewis College,173,NA,173,NA,16631,/best-colleges/fort-lewis-college-1353,,,,NA
249,LaGrange College,173,NA,173,NA,15705,/best-colleges/lagrange-college-1578,,,,NA
250,Lyon College,173,NA,173,NA,19424,/best-colleges/lyon-college-1088,,,,NA
251,Marymount Manhattan College,173,NA,173,NA,6046,/best-colleges/marymount-manhattan-2769,,,,NA
252,The King's College,173,NA,173,NA,19377,/best-colleges/kings-college-new-york-666134,,,,NA
253,Kent State University,176,176,NA,NA,14612,/best-colleges/kent-state-university-3051,,,,NA
254,Robert Morris University,176,176,NA,NA,23766,/best-colleges/robert-morris-university-pennsylvania-3359,,,,NA
255,Texas Tech University,176,176,NA,NA,5132,/best-colleges/texas-tech-university-3644,,,,NA
256,Union University,176,176,NA,NA,19001,/best-colleges/union-university-3528,,,,NA
257,University of Hartford,176,176,NA,NA,19851,/best-colleges/university-of-hartford-1422,,,,NA
258,Edgewood College,181,181,NA,NA,12913,/best-colleges/edgewood-college-3848,,,,NA
259,Lipscomb University,181,181,NA,NA,8033,/best-colleges/lipscomb-3486,,,,NA
260,Suffolk University,181,181,NA,NA,9556,/best-colleges/suffolk-university-2218,,,,NA
261,University of Maine,181,181,NA,NA,5269,/best-colleges/university-of-maine-2053,,,,NA
262,University of Wyoming,181,181,NA,NA,8236,/best-colleges/university-of-wyoming-3932,,,,NA
263,Azusa Pacific University,187,187,NA,NA,7939,/best-colleges/azusa-pacific-1117,,,,NA
264,Pace University,187,187,NA,NA,14749,/best-colleges/pace-university-2791,,,,NA
265,West Virginia University,187,187,NA,NA,6889,/best-colleges/wvu-3827,,,,NA
266,Andrews University,192,192,NA,NA,26675,/best-colleges/andrews-university-2238,,,,NA
267,University of Houston,192,192,NA,NA,1933,/best-colleges/university-of-houston-3652,,,,NA
268,University of North Dakota,192,192,NA,NA,7096,/best-colleges/university-of-north-dakota-3005,,,,NA
269,Widener University,192,192,NA,NA,17345,/best-colleges/widener-university-3313,,,,NA
270,New Mexico State University,198,198,NA,NA,14621,/best-colleges/new-mexico-state-university-2657,,,,NA
271,Nova Southeastern University,198,198,NA,NA,6414,/best-colleges/nova-1509,,,,NA
272,Dallas Baptist University,202,202,NA,NA,6280,/best-colleges/dallas-baptist-university-3560,,,,NA
273,Central Michigan University,207,207,NA,NA,6839,/best-colleges/central-michigan-university-2243,,,,NA
274,East Carolina University,207,207,NA,NA,20525,/best-colleges/east-carolina-university-2923,,,,NA
275,Montana State University,207,207,NA,NA,4038,/best-colleges/montana-state-2532,,,,NA
276,Ashland University,223,223,NA,NA,3524,/best-colleges/ashland-university-3012,,,,NA
277,Benedictine University,223,223,NA,NA,3413,/best-colleges/benedictine-university-1767,,,,NA
278,Georgia State University,223,223,NA,NA,2203,/best-colleges/georgia-state-1574,,,,NA
279,Shenandoah University,223,223,NA,NA,5347,/best-colleges/shenandoah-university-3737,,,,NA
280,Wayne State University,223,223,NA,NA,13325,/best-colleges/wayne-state-2329,,,,NA
