ID,college_name,combined_rank,national_rank,liberal_rank,students,aid,usnews_link,bigfuture_link,college_website,Total_Amount_Awarded,Engineering
36,University of Notre Dame,18,18,NA,231,36392,/best-colleges/notre-dame-1840,https://bigfuture.collegeboard.org/college-university-search/university-of-notre-dame,www.nd.edu,"$11,138,918 ",NA
37,Washington University in St. Louis,18,18,NA,NA,31719,/best-colleges/washington-university-st-louis-2520,https://bigfuture.collegeboard.org/college-university-search/washington-university-in-st-louis,http://www.wustl.edu,NA,NA
38,Georgetown University,20,20,NA,NA,54847,/best-colleges/georgetown-university-1445,https://bigfuture.collegeboard.org/college-university-search/georgetown-university,www.georgetown.edu,NA,NA
39,Emory University,21,21,NA,NA,23236,/best-colleges/emory-university-1564,https://bigfuture.collegeboard.org/college-university-search/emory-university,www.emory.edu,NA,NA
40,University of Southern California,21,21,NA,448,17744,/best-colleges/usc-1328,https://bigfuture.collegeboard.org/college-university-search/university-of-southern-california,www.usc.edu,"$8,687,611 ",NA
41,Wesleyan University,21,NA,21,98,54996,/best-colleges/wesleyan-university-1424,https://bigfuture.collegeboard.org/college-university-search/wesleyan-university,www.wesleyan.edu,"$6,031,843 ",NA
42,Bates College,23,NA,23,73,52700,/best-colleges/bates-college-2036,https://bigfuture.collegeboard.org/college-university-search/bates-college,www.bates.edu,"$4,092,499 ",NA
43,Colorado College,23,NA,23,101,NA,/best-colleges/colorado-college-1347,https://bigfuture.collegeboard.org/college-university-search/colorado-college,www.coloradocollege.edu,"$4,633,340 ",NA
44,University of Richmond,23,NA,23,136,44030,/best-colleges/university-of-richmond-3744,https://bigfuture.collegeboard.org/college-university-search/university-of-richmond,www.richmond.edu,"$6,310,182 ",NA
45,Barnard College,26,NA,26,NA,48212,/best-colleges/barnard-college-2708,https://bigfuture.collegeboard.org/college-university-search/barnard-college,www.barnard.edu,NA,NA
46,Kenyon College,26,NA,26,57,46391,/best-colleges/kenyon-college-3065,https://bigfuture.collegeboard.org/college-university-search/kenyon-college,www.kenyon.edu,"$3,055,197 ",NA
47,Macalester College,26,NA,26,258,42377,/best-colleges/macalester-college-2358,https://bigfuture.collegeboard.org/college-university-search/macalester-college,www.macalester.edu,"$11,259,120 ",NA
48,Oberlin College,26,NA,26,146,31132,/best-colleges/oberlin-college-3086,https://bigfuture.collegeboard.org/college-university-search/oberlin-college,www.oberlin.edu,NA,NA
49,Scripps College,26,NA,26,NA,31043,/best-colleges/scripps-college-1174,https://bigfuture.collegeboard.org/college-university-search/scripps-college,www.scrippscollege.edu,NA,NA
50,Tufts University,29,29,NA,161,49579,/best-colleges/tufts-university-2219,https://bigfuture.collegeboard.org/college-university-search/tufts-university,www.tufts.edu,"$8,852,636 ",NA
51,New York University,30,30,NA,NA,29508,/best-colleges/nyu-2785,https://bigfuture.collegeboard.org/college-university-search/new-york-university,www.nyu.edu,NA,NA
52,Bryn Mawr College,32,NA,32,157,43702,/best-colleges/bryn-mawr-college-3237,https://bigfuture.collegeboard.org/college-university-search/bryn-mawr-college,www.brynmawr.edu,NA,NA
53,Bucknell University,33,NA,33,108,42372,/best-colleges/bucknell-university-3238,https://bigfuture.collegeboard.org/college-university-search/bucknell-university,www.bucknell.edu,"$4,734,178 ",NA
54,College of the Holy Cross,33,NA,33,31,34367,/best-colleges/holy-cross-2141,https://bigfuture.collegeboard.org/college-university-search/college-of-the-holy-cross,www.holycross.edu,"$1,289,599 ",NA
55,Pitzer College,33,NA,33,15,62164,/best-colleges/pitzer-college-1172,https://bigfuture.collegeboard.org/college-university-search/pitzer-college,www.pitzer.edu,"$883,125 ",NA
56,Brandeis University,34,34,NA,71,38519,/best-colleges/brandeis-university-2133,https://bigfuture.collegeboard.org/college-university-search/brandeis-university,www.brandeis.edu,"$3,227,353 ",NA
57,University of Rochester,34,34,NA,853,23314,/best-colleges/university-of-rochester-2894,https://bigfuture.collegeboard.org/college-university-search/university-of-rochester,www.rochester.edu,"$27,850,130 ",NA
58,Lafayette College,36,NA,36,103,43119,/best-colleges/lafayette-college-3284,https://bigfuture.collegeboard.org/college-university-search/lafayette-college,www.lafayette.edu,NA,NA
59,Mount Holyoke College,36,NA,36,322,32785,/best-colleges/mount-holyoke-college-2192,https://bigfuture.collegeboard.org/college-university-search/mount-holyoke-college,www.mtholyoke.edu,"$10,503,674 ",NA
60,Union College,36,NA,36,82,59688,/best-colleges/union-college-new-york-2889,https://bigfuture.collegeboard.org/college-university-search/union-college,www.ucollege.edu,NA,NA
61,Boston University,37,37,NA,199,36904,/best-colleges/boston-university-2130,https://bigfuture.collegeboard.org/college-university-search/boston-university,www.bu.edu,"$6,957,076 ",NA
62,Case Western Reserve University,37,37,NA,96,13245,/best-colleges/case-western-reserve-university-3024,https://bigfuture.collegeboard.org/college-university-search/case-western-reserve-university,www.case.edu,"$2,624,252 ",NA
63,Soka University of America,39,NA,39,177,31901,/best-colleges/soka-university-of-america-38144,https://bigfuture.collegeboard.org/college-university-search/soka-university-of-america,www.soka.edu,"$7,551,177 ",NA
64,Northeastern University,40,40,NA,NA,18740,/best-colleges/northeastern-university-2199,https://bigfuture.collegeboard.org/college-university-search/northeastern-university,www.northeastern.edu,NA,NA
65,Tulane University,40,40,NA,NA,19965,/best-colleges/tulane-university-2029,https://bigfuture.collegeboard.org/college-university-search/tulane-university,www.tulane.edu,"$1,638,568 ",NA
66,Skidmore College,41,NA,41,83,56600,/best-colleges/skidmore-college-2814,https://bigfuture.collegeboard.org/college-university-search/skidmore-college,www.skidmore.edu,"$5,300,000 ",NA
67,Whitman College,41,NA,41,56,40556,/best-colleges/whitman-college-3803,https://bigfuture.collegeboard.org/college-university-search/whitman-college,www.whitman.edu,"$2,422,343 ",NA
68,Occidental College,44,NA,44,12,40525,/best-colleges/occidental-college-1249,https://bigfuture.collegeboard.org/college-university-search/occidental-college,www.oxy.edu,"$344,758 ",NA
69,Trinity College,44,NA,44,146,54788,/best-colleges/trinity-college-1414,https://bigfuture.collegeboard.org/college-university-search/trinity-college,www.trincoll.edu,NA,NA
70,Bard College,46,NA,46,73,44032,/best-colleges/bard-college-2671,https://bigfuture.collegeboard.org/college-university-search/bard-college,www.bard.edu,"$3,600,080 ",NA
71,Centre College,46,NA,46,107,16410,/best-colleges/centre-college-1961,https://bigfuture.collegeboard.org/college-university-search/centre-college,www.centre.edu,"$2,104,360 ",NA
72,Connecticut College,46,NA,46,81,47242,/best-colleges/connecticut-college-1379,https://bigfuture.collegeboard.org/college-university-search/connecticut-college,www.conncoll.edu,"$4,242,365 ",NA
73,Denison University,46,NA,46,153,26417,/best-colleges/denison-university-3042,https://bigfuture.collegeboard.org/college-university-search/denison-university,www.denison.edu,NA,NA
74,Gettysburg College,46,NA,46,128,27549,/best-colleges/gettysburg-college-3268,https://bigfuture.collegeboard.org/college-university-search/gettysburg-college,www.gettysburg.edu,"$3,942,974 ",NA
75,Lehigh University,46,46,NA,90,35056,/best-colleges/lehigh-university-3289,https://bigfuture.collegeboard.org/college-university-search/lehigh-university,www.lehigh.edu,"$4,163,332 ",NA
76,Pepperdine University,46,46,NA,149,23000,/best-colleges/pepperdine-university-1264,https://bigfuture.collegeboard.org/college-university-search/pepperdine-university,www.pepperdine.edu,"$3,024,429 ",NA
77,University of Miami,46,46,NA,187,28775,/best-colleges/university-of-miami-1536,https://bigfuture.collegeboard.org/college-university-search/university-of-miami,www.miami.edu,"$7,659,362 ",NA
78,Villanova University,46,46,NA,75,7019,/best-colleges/villanova-3388,https://bigfuture.collegeboard.org/college-university-search/villanova-university,www.villanova.edu,"$3,422,134 ",NA
79,Dickinson College,51,NA,51,211,29073,/best-colleges/dickinson-college-3253,https://bigfuture.collegeboard.org/college-university-search/dickinson-college,www.dickinson.edu,"$7,672,109 ",NA
80,Rhodes College,51,NA,51,68,20369,/best-colleges/rhodes-college-3519,https://bigfuture.collegeboard.org/college-university-search/rhodes-college,www.rhodes.edu,"$2,436,878 ",NA
81,DePauw University,53,NA,53,NA,16347,/best-colleges/depauw-university-1792,https://bigfuture.collegeboard.org/college-university-search/de-pauw-university,www.depauw.edu,NA,NA
82,Furman University,53,NA,53,82,31134,/best-colleges/furman-university-3434,https://bigfuture.collegeboard.org/college-university-search/furman-university,www.furman.edu,"Ê$2,958,150",NA
83,Sarah Lawrence College,53,NA,53,218,34939,/best-colleges/sarah-lawrence-2813,https://bigfuture.collegeboard.org/college-university-search/sarah-lawrence-college,www.sarahlawrence.edu,"$4,993,058 ",NA
84,St. John's College,53,NA,53,77,69360,/best-colleges/st-johns-college-maryland-2092,https://bigfuture.collegeboard.org/college-university-search/st-johns-college-annapolis,www.sjc.edu,"$2,892,758 ",NA
85,University of Georgia,54,54,NA,NA,23194,/best-colleges/university-of-georgia-1598,https://bigfuture.collegeboard.org/college-university-search/university-of-georgia,www.uga.edu,NA,NA
86,St. Olaf College,57,NA,57,249,38795,/best-colleges/st-olaf-college-2382,https://bigfuture.collegeboard.org/college-university-search/st-olaf-college,www.stolaf.edu,"$10,961,298 ",NA
87,Lawrence University,58,NA,58,110,22341,/best-colleges/lawrence-university-3856,https://bigfuture.collegeboard.org/college-university-search/lawrence-university,www.lawrence.edu,NA,NA
88,St. Lawrence University,58,NA,58,210,35260,/best-colleges/st-lawrence-university-2829,https://bigfuture.collegeboard.org/college-university-search/st-lawrence-university,www.stlawu.edu,"$7,566,483 ",NA
89,Thomas Aquinas College,58,NA,58,10,18240,/best-colleges/thomas-aquinas-college-10448,https://bigfuture.collegeboard.org/college-university-search/thomas-aquinas-college,www.thomasaquinas.edu,"$170,116 ",NA
90,Agnes Scott College,61,NA,61,NA,20093,/best-colleges/agnes-scott-college-1542,https://bigfuture.collegeboard.org/college-university-search/agnes-scott-college,www.agnesscott.edu,NA,NA
91,Fordham University,61,61,NA,97,30638,/best-colleges/fordham-university-2722,https://bigfuture.collegeboard.org/college-university-search/fordham-university,www.fordham.edu,"$2,670,816 ",NA
92,Southern Methodist University,61,61,NA,230,25576,/best-colleges/smu-3613,https://bigfuture.collegeboard.org/college-university-search/southern-methodist-university,www.smu.edu,"$6,278,097 ",NA
93,Spelman College,61,NA,61,14,26327,/best-colleges/spelman-college-1594,https://bigfuture.collegeboard.org/college-university-search/spelman-college,www.spelman.edu,"$346,781 ",NA
94,Syracuse University,61,61,NA,NA,12301,/best-colleges/syracuse-university-2882,https://bigfuture.collegeboard.org/college-university-search/syracuse-university,www.syracuse.edu,NA,NA
95,Worcester Polytechnic Institute,61,61,NA,425,21833,/best-colleges/wpi-2233,https://bigfuture.collegeboard.org/college-university-search/worcester-polytechnic-institute,https://www.wpi.edu/,"$8,422,800 ",NA
96,Wheaton College,63,NA,63,35,44549,/best-colleges/wheaton-college-illinois-1781,https://bigfuture.collegeboard.org/college-university-search/wheaton-college-1353,www.wheaton.edu,"$739,064 ",NA
97,Hobart and William Smith Colleges,65,NA,65,114,23386,/best-colleges/hobart-and-william-2731,https://bigfuture.collegeboard.org/college-university-search/hobart-and-william-smith-colleges,www.hws.edu,"$2,634,337 ",NA
98,Wabash College,65,NA,65,58,27827,/best-colleges/wabash-college-1844,https://bigfuture.collegeboard.org/college-university-search/wabash-college,www.wabash.edu,"$2,003,550 ",NA
99,Berea College,68,NA,68,120,31737,/best-colleges/berea-college-1955,https://bigfuture.collegeboard.org/college-university-search/berea-college,www.berea.edu,"$4,966,609 ",NA
100,Earlham College,68,NA,68,NA,40250,/best-colleges/earlham-college-1793,https://bigfuture.collegeboard.org/college-university-search/earlham-college,www.earlham.edu,NA,NA
101,University of Puget Sound,68,NA,68,NA,11225,/best-colleges/university-of-puget-sound-3797,,,,NA
102,Stevens Institute of Technology,69,69,NA,NA,4200,/best-colleges/stevens-institute-of-technology-2639,,,,NA
103,Hillsdale College,71,NA,71,NA,22082,/best-colleges/hillsdale-college-2272,,,,NA
104,Illinois Wesleyan University,71,NA,71,NA,21808,/best-colleges/illinois-wesleyan-university-1696,,,,NA
105,Knox College,71,NA,71,NA,22647,/best-colleges/knox-college-1704,,,,NA
106,Muhlenberg College,71,NA,71,NA,38150,/best-colleges/muhlenberg-college-3304,,,,NA
107,Wofford College,71,NA,71,NA,26192,/best-colleges/wofford-college-3457,,,,NA
108,Baylor University,75,75,NA,NA,13993,/best-colleges/baylor-university-6967,,,,NA
109,Beloit College,76,NA,76,111,18879,/best-colleges/beloit-college-3835,,,,NA
110,Hendrix College,76,NA,76,NA,25964,/best-colleges/hendrix-college-1099,,,,NA
111,Kalamazoo College,76,NA,76,NA,23863,/best-colleges/kalamazoo-college-2275,,,,NA
112,Lewis & Clark College,76,NA,76,NA,40261,/best-colleges/lewis-and-clark-3197,,,,NA
113,St. John's College,76,NA,76,39,69360,/best-colleges/st-johns-college-new-mexico-2093,,,,NA
114,Wheaton College,76,NA,76,103,44549,/best-colleges/wheaton-college-massachusetts-2227,,,,NA
115,Texas Christian University,78,78,NA,NA,29552,/best-colleges/tcu-3636,,,,NA
116,Clark University,81,81,NA,165,25328,/best-colleges/clark-university-massachusetts-2139,,,,NA
117,Michigan State University,81,81,NA,NA,13696,/best-colleges/michigan-state-2290,,,,NA
118,Allegheny College,82,NA,82,NA,18708,/best-colleges/allegheny-college-3230,,,,NA
119,Reed College,82,NA,82,45,50705,/best-colleges/reed-college-3217,,,,NA
120,Gustavus Adolphus College,85,NA,85,NA,25040,/best-colleges/gustavus-college-2353,,,,NA
121,St. John's University,85,NA,85,NA,21401,/best-colleges/st-johns-university-minnesota-2379,,,,NA
122,Bennington College,87,NA,87,46,44230,/best-colleges/bennington-college-3682,,,,NA
123,Cornell College,87,NA,87,NA,22074,/best-colleges/cornell-college-1856,,,,NA
124,Luther College,87,NA,87,NA,28681,/best-colleges/luther-college-1874,,,,NA
125,Millsaps College,87,NA,87,NA,26155,/best-colleges/millsaps-college-2414,,,,NA
126,Transylvania University,87,NA,87,NA,15772,/best-colleges/transylvania-university-1987,,,,NA
127,University of Denver,87,87,NA,NA,19226,/best-colleges/university-denver-1371,,,,NA
128,Marquette University,90,90,NA,NA,12236,/best-colleges/marquette-university-3863,,,,NA
129,University of San Diego,90,90,NA,NA,12500,/best-colleges/university-of-san-diego-10395,,,,NA
130,Austin College,93,NA,93,NA,14016,/best-colleges/austin-college-3543,,,,NA
131,College of the Atlantic,93,NA,93,52,40534,/best-colleges/college-of-the-atlantic-11385,,,,NA
132,Ursinus College,93,NA,93,NA,11249,/best-colleges/ursinus-3385,,,,NA
133,Saint Louis University,94,94,NA,NA,20626,/best-colleges/st-louis-university-2506,,,,NA
134,Yeshiva University,94,94,NA,133,NA,/best-colleges/yeshiva-university-2903,,,,NA
135,Hampden-Sydney College,96,NA,96,NA,29537,/best-colleges/hampden-sydney-3713,,,,NA
136,Southwestern University,96,NA,96,NA,20369,/best-colleges/southwestern-university-3620,,,,NA
137,St. Mary's College of Maryland,96,NA,96,NA,7522,/best-colleges/st-marys-college-2095,,,,NA
138,Washington College,96,NA,96,NA,17833,/best-colleges/washington-college-maryland-2108,,,,NA
139,Rochester Institute of Technology,97,97,NA,NA,13000,/best-colleges/rit-2806,,,,NA
140,University of Oklahoma,97,97,NA,NA,3132,/best-colleges/university-of-oklahoma-3184,,,,NA
141,University of Vermont,97,97,NA,NA,18075,/best-colleges/university-of-vermont-3696,,,,NA
142,Augustana College,101,NA,101,NA,37958,/best-colleges/augustana-college-1633,,,,NA
143,New College of Florida,101,NA,101,NA,19609,/best-colleges/new-college-of-florida-153704,,,,NA
