college_name,college_website,bigfuture_link,students,total_amount_awarded,college_finaid_link,engineering,generosity_index
Barnard College,www.barnard.edu,https://bigfuture.collegeboard.org/college-university-search/barnard-college,NA,NA,https://admissions.barnard.edu/apply-barnard/international-students/fin-aid,joint degrees,3
Kenyon College,www.kenyon.edu,https://bigfuture.collegeboard.org/college-university-search/kenyon-college,57,"$3,055,197 ",http://www.kenyon.edu/admissions-aid/how-to-apply/international-students/,joint degrees,1
Macalester College,www.macalester.edu,https://bigfuture.collegeboard.org/college-university-search/macalester-college,258,"$11,259,120 ",https://www.macalester.edu/financialaid/apply/international/,general engineering,3
Oberlin College,www.oberlin.edu,https://bigfuture.collegeboard.org/college-university-search/oberlin-college,146,NA,https://www.oberlin.edu/admissions-and-aid/financial-aid/applying-aid-international-students,joint degrees,2
Scripps College,www.scrippscollege.edu,https://bigfuture.collegeboard.org/college-university-search/scripps-college,NA,NA,https://www.scrippscollege.edu/admission/apply/international-applicants,joint degrees,2
Tufts University,www.tufts.edu,https://bigfuture.collegeboard.org/college-university-search/tufts-university,161,"$8,852,636 ",http://admissions.tufts.edu/tuition-and-aid/applying-for-aid/international-student-aid/,http://admissions.tufts.edu/academics/majors-and-minors/,2
New York University,www.nyu.edu,https://bigfuture.collegeboard.org/college-university-search/new-york-university,NA,NA,https://www.nyu.edu/admissions/undergraduate-admissions/how-to-apply/international-applicants.html,https://www.nyu.edu/academics/academic-programs.html,3
Bryn Mawr College,www.brynmawr.edu,https://bigfuture.collegeboard.org/college-university-search/bryn-mawr-college,157,NA,https://www.brynmawr.edu/admissions/international-faqs-frequently-asked-questions,joint degrees,2
Bucknell University,www.bucknell.edu,https://bigfuture.collegeboard.org/college-university-search/bucknell-university,108,"$4,734,178 ",https://www.bucknell.edu/admissions/international-admissions/paying-for-bucknell,https://www.bucknell.edu/Majors,2
College of the Holy Cross,www.holycross.edu,https://bigfuture.collegeboard.org/college-university-search/college-of-the-holy-cross,31,"$1,289,599 ",https://www.holycross.edu/apply/international-students,joint degrees,4
Pitzer College,www.pitzer.edu,https://bigfuture.collegeboard.org/college-university-search/pitzer-college,15,"$883,125 ",https://www.pitzer.edu/financial-aid/international-students/,https://www.pitzer.edu/academics/majors/,2
Brandeis University,www.brandeis.edu,https://bigfuture.collegeboard.org/college-university-search/brandeis-university,71,"$3,227,353 ",https://www.brandeis.edu/student-financial-services/financial-aid/apply/international-students.html,joint degrees,2
University of Rochester,www.rochester.edu,https://bigfuture.collegeboard.org/college-university-search/university-of-rochester,853,"$27,850,130 ",https://enrollment.rochester.edu/financial-aid/international/,https://www.rochester.edu/academics/schools.html,2
Lafayette College,www.lafayette.edu,https://bigfuture.collegeboard.org/college-university-search/lafayette-college,103,NA,https://admissions.lafayette.edu/apply/international-students/,https://engineering.lafayette.edu/programs/,2
Mount Holyoke College,www.mtholyoke.edu,https://bigfuture.collegeboard.org/college-university-search/mount-holyoke-college,322,"$10,503,674 ",https://www.mtholyoke.edu/sfs/international-students,general engineering,2
Union College,www.union.edu,https://bigfuture.collegeboard.org/college-university-search/union-college,82,NA,https://www.union.edu/admissions/apply/international/,https://www.union.edu/academic/majors-minors/,2
Boston University,www.bu.edu,https://bigfuture.collegeboard.org/college-university-search/boston-university,199,"$6,957,076 ",https://www.bu.edu/admissions/apply/tuition-aid-scholarships/scholarships/international/,https://www.bu.edu/academics/degree-programs/,3
Case Western Reserve University,www.case.edu,https://bigfuture.collegeboard.org/college-university-search/case-western-reserve-university,96,"$2,624,252 ",https://case.edu/financialaid/for-undergraduates/international-students,http://bulletin.case.edu/undergraduatestudies/majorsandminors/,4
Soka University of America,www.soka.edu,https://bigfuture.collegeboard.org/college-university-search/soka-university-of-america,177,"$7,551,177 ",NO FLAG,NA,4
Northeastern University,www.northeastern.edu,https://bigfuture.collegeboard.org/college-university-search/northeastern-university,NA,NA,NO FLAG,NA,5
Tulane University,www.tulane.edu,https://bigfuture.collegeboard.org/college-university-search/tulane-university,NA,"$1,638,568 ",https://admission.tulane.edu/international/aid,https://admission.tulane.edu/academics/majors-minors,3
Skidmore College,www.skidmore.edu,https://bigfuture.collegeboard.org/college-university-search/skidmore-college,83,"$5,300,000 ",https://www.skidmore.edu/admissions/international/aid.php,joint degrees,3
Whitman College,www.whitman.edu,https://bigfuture.collegeboard.org/college-university-search/whitman-college,56,"$2,422,343 ",https://www.whitman.edu/admission-and-aid/applying-to-whitman/international-students/financial-aid,general engineering,3
Occidental College,www.oxy.edu,https://bigfuture.collegeboard.org/college-university-search/occidental-college,12,"$344,758 ",https://www.oxy.edu/admission-aid/costs-financial-aid/international-students,joint degrees,3
Trinity College,www.trincoll.edu,https://bigfuture.collegeboard.org/college-university-search/trinity-college,146,NA,http://www.trincoll.edu/Academics/IDP/IDPFinAid/Pages/international.aspx,general engineering,2
Bard College,www.bard.edu,https://bigfuture.collegeboard.org/college-university-search/bard-college,73,"$3,600,080 ",http://www.bard.edu/financialaid/international/,joint degrees,3
Centre College,www.centre.edu,https://bigfuture.collegeboard.org/college-university-search/centre-college,107,"$2,104,360 ",https://www.centre.edu/admission-aid/apply-to-centre/international-applicants/,joint degrees,3
Connecticut College,www.conncoll.edu,https://bigfuture.collegeboard.org/college-university-search/connecticut-college,81,"$4,242,365 ",https://www.conncoll.edu/financial-aid/applying-for-financial-aid/international-students/,https://www.conncoll.edu/academics/majors-departments-programs/majors-and-minors/,2
Denison University,www.denison.edu,https://bigfuture.collegeboard.org/college-university-search/denison-university,153,NA,https://denison.edu/campus/admission/financial-aid-international-applicant,joint degrees,3
Gettysburg College,www.gettysburg.edu,https://bigfuture.collegeboard.org/college-university-search/gettysburg-college,128,"$3,942,974 ",https://www.gettysburg.edu/scholarships_aid/how-to-apply-prospective-students/international.dot,joint degrees,4
Lehigh University,www.lehigh.edu,https://bigfuture.collegeboard.org/college-university-search/lehigh-university,90,"$4,163,332 ",https://www1.lehigh.edu/admissions/undergrad/intl,https://www1.lehigh.edu/academics/majors,2
Pepperdine University,www.pepperdine.edu,https://bigfuture.collegeboard.org/college-university-search/pepperdine-university,149,"$3,024,429 ",???,NA,3
University of Miami,www.miami.edu,https://bigfuture.collegeboard.org/college-university-search/university-of-miami,187,"$7,659,362 ",https://admissions.miami.edu/undergraduate/financial-aid/scholarships/new-international-students/index.html,http://www.coe.miami.edu/programs/undergraduate-programs/,3
Villanova University,www.villanova.edu,https://bigfuture.collegeboard.org/college-university-search/villanova-university,75,"$3,422,134 ",https://www1.villanova.edu/villanova/enroll/finaid/process/international.html,http://www1.villanova.edu/villanova/engineering/undergrad/majors.html,4
Dickinson College,www.dickinson.edu,https://bigfuture.collegeboard.org/college-university-search/dickinson-college,211,"$7,672,109 ",http://www.dickinson.edu/info/20045/admissions/1179/international_student_financial_aid/,general engineering & joint degrees,2
Rhodes College,www.rhodes.edu,https://bigfuture.collegeboard.org/college-university-search/rhodes-college,68,"$2,436,878 ",https://www.rhodes.edu/content/international-financial-aid,joint degrees,3
DePauw University,www.depauw.edu,https://bigfuture.collegeboard.org/college-university-search/de-pauw-university,NA,NA,https://www.depauw.edu/admission/apply/international-students/faqs/#aid,joint degrees,3
Furman University,www.furman.edu,https://bigfuture.collegeboard.org/college-university-search/furman-university,82,"Ê$2,958,150",NO FLAG,NA,4
Sarah Lawrence College,www.sarahlawrence.edu,https://bigfuture.collegeboard.org/college-university-search/sarah-lawrence-college,218,"$4,993,058 ",https://www.sarahlawrence.edu/financial-aid/undergraduate/international-applicants.html,joint degrees,3
St. John's College,www.sjc.edu,https://bigfuture.collegeboard.org/college-university-search/st-johns-college-annapolis,77,"$2,892,758 ",https://www.sjc.edu/admissions-and-aid/financial-aid/applying-aid/international-students,NA,2
University of Georgia,www.uga.edu,https://bigfuture.collegeboard.org/college-university-search/university-of-georgia,NA,NA,https://www.admissions.uga.edu/prospective-students/international,http://www.engineering.uga.edu/undergraduate-degrees,3
St. Olaf College,www.stolaf.edu,https://bigfuture.collegeboard.org/college-university-search/st-olaf-college,249,"$10,961,298 ",https://wp.stolaf.edu/financialaid/international-student-information/,joint degrees,2
Lawrence University,www.lawrence.edu,https://bigfuture.collegeboard.org/college-university-search/lawrence-university,110,NA,https://www.lawrence.edu/admissions/afford/apply_for_financial_aid/international_aid,joint degrees,3
St. Lawrence University,www.stlawu.edu,https://bigfuture.collegeboard.org/college-university-search/st-lawrence-university,210,"$7,566,483 ",http://www.stlawu.edu/admissions/international-admissions-financial-aid,joint degrees,3
Thomas Aquinas College,www.thomasaquinas.edu,https://bigfuture.collegeboard.org/college-university-search/thomas-aquinas-college,10,"$170,116 ",https://thomasaquinas.edu/admission/international-students,joint degrees,4
Agnes Scott College,www.agnesscott.edu,https://bigfuture.collegeboard.org/college-university-search/agnes-scott-college,NA,NA,https://www.agnesscott.edu/admission/international-students/index.html,joint degrees,4
Fordham University,www.fordham.edu,https://bigfuture.collegeboard.org/college-university-search/fordham-university,97,"$2,670,816 ",https://www.fordham.edu/info/21251/fordham_scholarships_and_grants/8283/international_student_scholarships,joint degrees,3
Southern Methodist University,www.smu.edu,https://bigfuture.collegeboard.org/college-university-search/southern-methodist-university,230,"$6,278,097 ",NO FLAG,NA,4
Spelman College,www.spelman.edu,https://bigfuture.collegeboard.org/college-university-search/spelman-college,14,"$346,781 ",https://www.spelman.edu/admissions/applying-to-spelman/international-students,joint degrees,4
Syracuse University,www.syracuse.edu,https://bigfuture.collegeboard.org/college-university-search/syracuse-university,NA,NA,http://financialaid.syr.edu/whoareyou/internationalstudents/,https://www.syracuse.edu/academics/undergraduate-majors-minors/,4
Worcester Polytechnic Institute,www.wpi.edu,https://bigfuture.collegeboard.org/college-university-search/worcester-polytechnic-institute,425,"$8,422,800 ",https://www.wpi.edu/admissions/tuition-aid/applying-for-aid/international-students,https://www.wpi.edu/academics/study,2
Wheaton College,www.wheaton.edu,https://bigfuture.collegeboard.org/college-university-search/wheaton-college-1353,35,"$739,064 ",https://wheatoncollege.edu/about-wheaton-college/offices-services/student-financial-services/awards-applications/information-for-international-students/,joint degrees,3
Hobart and William Smith Colleges,www.hws.edu,https://bigfuture.collegeboard.org/college-university-search/hobart-and-william-smith-colleges,114,"$2,634,337 ",http://www.hws.edu/admissions/finedu_aid_intl.aspx,joint degrees,3
Wabash College,www.wabash.edu,https://bigfuture.collegeboard.org/college-university-search/wabash-college,58,"$2,003,550 ",https://www.wabash.edu/admissions/finances/international,joint degrees,3
Berea College,www.berea.edu,https://bigfuture.collegeboard.org/college-university-search/berea-college,120,"$4,966,609 ",https://www.berea.edu/admissions/applying-for-admission/international-students/costs/,joint degrees,2
Earlham College,www.earlham.edu,https://bigfuture.collegeboard.org/college-university-search/earlham-college,NA,NA,http://earlham.edu/admissions/international-admissions/,joint degrees,3
University of Puget Sound,www.pugetsound.edu,https://bigfuture.collegeboard.org/college-university-search/university-of-puget-sound,14,"$236,200 ",https://www.pugetsound.edu/admission/apply/international-students/checklist-freshmen/,joint degrees,4
Stevens Institute of Technology,www.stevens.edu,https://bigfuture.collegeboard.org/college-university-search/stevens-institute-of-technology,96,"$1,303,726 ",https://www.stevens.edu/admissions/tuition-financial-aid/undergraduate-scholarships-aid/undergraduate-international-student-resources,https://www.stevens.edu/academics/undergraduate-studies/undergraduate-majors,4
Hillsdale College,NO FLAG,NA,NA,,NO FLAG,NA,4
Illinois Wesleyan University,www.iwu.edu,https://bigfuture.collegeboard.org/college-university-search/illinois-wesleyan-university,130,"$2,901,470 ",https://www.iwu.edu/admissions/international/intscholar.html,general engineering,3
Knox College,www.knox.edu,https://bigfuture.collegeboard.org/college-university-search/knox-college,217,"$6,436,076 ",https://www.knox.edu/admission/cost-and-financial-aid/financial-aid-for-international-students,https://www.wofford.edu/admission/internationalapplicant/,3
Muhlenberg College,NO FLAG,NA,NA,,NO FLAG,NA,4
Wofford College,www.wofford.edu,https://bigfuture.collegeboard.org/college-university-search/wofford-college,15,"$433,266 ",https://www.wofford.edu/admission/internationalapplicant/,joint degrees,4
Baylor University,www.baylor.edu,https://bigfuture.collegeboard.org/college-university-search/baylor-university,380,"$5,666,940 ",https://www.baylor.edu/admissions/index.php?id=872110,https://www.baylor.edu/admissions/index.php?id=871985,4
Beloit College,www.beloit.edu,https://bigfuture.collegeboard.org/college-university-search/beloit-college,111,NA,https://www.beloit.edu/admission/afford/international/,joint degrees,3
